학원명,학원주소,Latitude,Longitude,가점척도,,,,,,,,,,,,,,,
리틀아트미술학원,대구광역시 수성구 신매로6길 2-1   1층 (신매동),35.833566,128.7083422,2,,,,,,,,,,,,,,,
계명미술학원,대구광역시 수성구 수성로 34   1층 (상동),35.8383745,128.6129103,2,,,,,,,,,,,,,,,
이사벨무용학원,대구광역시 수성구 지범로39길 11-10   2층 (범물동),35.8209487,128.6415211,2,,,,,,,,,,,,,,,
명인애견미용학원,"대구광역시 중구 공평로20길 11 , 2층 (동인동1가)",35.871834,128.6015183,2,,,,,,,,,,,,,,,
한국문화평생직업학원,"대구광역시 중구 경상감영길 161 , 3, 4층 (동문동)",35.87156,128.5997581,2,,,,,,,,,,,,,,,
수성청담외국어학원,"대구광역시 수성구 달구벌대로 2486 , 6~7층 (범어동, 범어골드타워)",35.8584628,128.6345035,2,,,,,,,,,,,,,,,
맨투맨스쿨입시학원,대구광역시 수성구 지범로39길 11-9 범물동 3층,35.8208548,128.6412049,2,,,,,,,,,,,,,,,
카이영재입시학원,대구광역시 수성구 교학로11길 79   3층 4층 (만촌동),35.8499746,128.6562375,2,,,,,,,,,,,,,,,
릴라ET수학입시학원,대구광역시 수성구 범어로16길 40   1층 2층 (범어동),35.8559699,128.6377088,2,,,,,,,,,,,,,,,
황막강입시학원,대구광역시 수성구 지범로 175   5층 (지산동),35.821904,128.6390044,2,,,,,,,,,,,,,,,
세광입시학원,"대구광역시 수성구 지범로 167 , 13층 (지산동)",35.8223988,128.6383222,2,,,,,,,,,,,,,,,
메가팍스어학원,대구광역시 수성구 달구벌대로 3177   5층 일부 (매호동),35.8489989,128.7085559,2,,,,,,,,,,,,,,,
범어이주현영어학원,대구광역시 수성구 달구벌대로 2476   3층 (범어동),35.8648816,128.6261427,2,,,,,,,,,,,,,,,
샐리스가든어학원,대구광역시 수성구 신천동로88길 46   1층 (수성동4가),35.8615728,128.612698,2,,,,,,,,,,,,,,,
엘리트외국어학원,대구광역시 수성구 신매로 88   3층 (신매동),35.8373254,128.7090917,2,,,,,,,,,,,,,,,
뉴외국어학원,대구광역시 수성구 달구벌대로 3218   8층 (신매동),35.8375322,128.7154239,2,,,,,,,,,,,,,,,
아너스(Honors)클럽외국어학원,대구광역시 수성구 천을로 199   2층 3층 (매호동),35.8422608,128.7121809,2,,,,,,,,,,,,,,,
김영대학편입학원,대구광역시 중구 명덕로 203   외2필지 7층 (남산동),35.8570374,128.5925612,2,,,,,,,,,,,,,,,
포인트정석속독학원,대구광역시 수성구 달구벌대로 3163   3층 (매호동),35.8500721,128.715272,2,,,,,,,,,,,,,,,
바스엔터테인먼트아카데미학원,"대구광역시 중구 국채보상로 530 , 2,4층 (하서동)",35.8690249,128.5939339,2,,,,,,,,,,,,,,,
민아뜰리에미술학원,대구광역시 수성구 지범로22길 23  협화아파트 상가 201호 (지산동),35.8211369,128.6359706,2,,,,,,,,,,,,,,,
늘푸른음악학원,"대구광역시 수성구 천을로 180 , 109/201 (매호동,매호동서아파트)",35.8420525,128.7101019,2,,,,,,,,,,,,,,,
어린음악대수성4가원음악어린화가들수성4가원미술학원,대구광역시 수성구 신천동로88길 46   2층 (수성동4가),35.8615728,128.612698,2,,,,,,,,,,,,,,,
동그라미학원,대구광역시 동구 율하동로 101 율하동 신혼빌라 2.3층,35.8686603,128.7015742,2,,,,,,,,,,,,,,,
포디텍컴퓨터학원,대구광역시 중구 달구벌대로 1981   외 1필지 3층 (대신동),35.8647434,128.580816,2,,,,,,,,,,,,,,,
고산알파학원,"대구광역시 수성구 달구벌대로631길 6 , 2,3층 (매호동)",35.8419496,128.7033535,2,,,,,,,,,,,,,,,
권진희국어학원,"대구광역시 수성구 달구벌대로 2575 , 7층 (만촌동)",35.8592437,128.6450242,2,,,,,,,,,,,,,,,
골드동강입시학원,대구광역시 동구 안심로41길 12   3층 (서호동),35.8672737,128.7082711,2,,,,,,,,,,,,,,,
816입시학원,"대구광역시 수성구 범어천로 128 , 4층 (범어동)",35.8581358,128.622747,2,,,,,,,,,,,,,,,
영스어학원,대구광역시 수성구 신천동로88길 46   3층 (수성동4가),35.8615728,128.612698,2,,,,,,,,,,,,,,,
시그마엠수학학원,대구광역시 수성구 고산로 121-23   3층 (매호동),35.8419126,128.7035059,2,,,,,,,,,,,,,,,
케이투수학학원,"대구광역시 수성구 교학로 46 , 2층 (만촌동)",35.851142,128.6518985,2,,,,,,,,,,,,,,,
지산고려학원,대구광역시 수성구 용학로44길 9 (),35.820474,128.6329517,2,,,,,,,,,,,,,,,
패럴렉스어학원,"대구광역시 수성구 파동로 253 , 2층  (파동,수성빌딩)",35.8251931,128.6096338,2,,,,,,,,,,,,,,,
독학인학원,대구광역시 수성구 지범로 173   4층 (지산동),35.8220446,128.6388218,2,,,,,,,,,,,,,,,
탑클래스학원,대구광역시 수성구 수성로 352   5층 (수성동2가),35.8554843,128.615478,2,,,,,,,,,,,,,,,
스카이입시학원,"대구광역시 동구 경대로 2 , 2층 (신암동)",35.8819288,128.6122013,2,,,,,,,,,,,,,,,
으뜸입시학원,대구광역시 수성구 상화로5길 16 (상동),35.8354465,128.6098162,2,,,,,,,,,,,,,,,
세인트피터영어학원,대구광역시 수성구 만촌로 126   3층 (만촌동),35.8699482,128.6414607,2,,,,,,,,,,,,,,,
더블라썸영어전문학원,대구광역시 동구 동호로 88  아름다운나날상가 217동 303호 (신서동),35.8657254,128.7270989,2,,,,,,,,,,,,,,,
문성멘토학원,대구광역시 수성구 달구벌대로625길 21   대백아파트 상가 201호 (2층) (시지동),35.8441909,128.7003527,2,,,,,,,,,,,,,,,
한마루학원,"대구광역시 수성구 달구벌대로504길 40 , 2층 (범어동)",35.854887,128.6382892,2,,,,,,,,,,,,,,,
지앤비영어차수학학원,"대구광역시 수성구 신매로 84 , 4층 (신매동)",35.8370164,128.7089185,2,,,,,,,,,,,,,,,
동호입시학원,"대구광역시 동구 동호로 69 , 3층 일부(301호, 302호) (동호동, 동호월드타운)",35.8661649,128.7244665,2,,,,,,,,,,,,,,,
상위1%영어전문학원,"대구광역시 수성구 유니버시아드로 341 , 5층 (욱수동)",35.8295162,128.7079022,2,,,,,,,,,,,,,,,
대구고려학원,"대구광역시 수성구 달구벌대로 2504 , 5층 (범어동)",35.8662494,128.6255355,2,,,,,,,,,,,,,,,
김샘지산범물학원,"대구광역시 수성구 용학로 298 , 7층 (범물동)",35.8217216,128.640756,2,,,,,,,,,,,,,,,
브레인코칭아카데미학원,대구광역시 중구 명덕로 311-16   1층 2층 (대봉동),35.8559656,128.6063335,2,,,,,,,,,,,,,,,
윈스쿨어학원,대구광역시 수성구 청호로 405   1~2층 (범어동),35.8535281,128.638234,2,,,,,,,,,,,,,,,
정철영어주니어동호어학원,대구광역시 동구 동호로 79   6층 (신서동),35.8664819,128.7255611,2,,,,,,,,,,,,,,,
메이플트리지앤비(Maple Tree gnb)어학원,대구광역시 동구 금강로 17   3층 (신서동),35.8665118,128.7249469,2,,,,,,,,,,,,,,,
GnB어학원,대구광역시 수성구 용학로 293   2층 (지산동),35.8218894,128.6402217,2,,,,,,,,,,,,,,,
동호이유외국어학원,"대구광역시 동구 동호로5길 13 , 3층,4층일부 (신서동)",35.867382,128.7251663,2,,,,,,,,,,,,,,,
키즈킹덤외국어학원,대구광역시 동구 팔공로26길 29   2층 (불로동),35.9097009,128.6439141,2,,,,,,,,,,,,,,,
대구법학원,대구광역시 중구 국채보상로 582   미도빌딩 6층 (남일동),35.8706908,128.5943907,2,,,,,,,,,,,,,,,
만촌포인트정석속독학원,대구광역시 수성구 화랑로 50  자삼빌딩 7층 (만촌동),35.8703455,128.6335097,2,,,,,,,,,,,,,,,
예노을음악학원,대구광역시 수성구 만촌로 100 (),35.867626,128.6423876,2,,,,,,,,,,,,,,,
하늘소리음악학원,대구광역시 수성구 동원로 123  메트로팔레스아파트 상가 221/204 (만촌동),35.8708254,128.6358303,2,,,,,,,,,,,,,,,
단비음악학원,대구광역시 수성구 화랑로12길 21 (),35.8714262,128.6352259,2,,,,,,,,,,,,,,,
예일음악미술학원,대구광역시 동구 동호로 75  동호골든프라자 5층 501호 (신서동),35.8963498,128.6159981,2,,,,,,,,,,,,,,,
맨하탄음악학원,대구광역시 수성구 만촌로 144   3층 (만촌동),35.8713555,128.6410545,2,,,,,,,,,,,,,,,
아인클랑음악학원,대구광역시 동구 동호로 132  아름다운나날상가 320/203 (신서동),35.8663278,128.7314325,2,,,,,,,,,,,,,,,
하늘샘피아노학원,대구광역시 동구 동호로 132  영조아름다운나날상가 320/302 (신서동),35.8663278,128.7314325,2,,,,,,,,,,,,,,,
보스턴음악학원,"대구광역시 동구 아양로42길 6 , 3층 (효목동)",35.8857812,128.6367826,2,,,,,,,,,,,,,,,
로얄음악학원,대구광역시 수성구 만촌로 120   3층 (만촌동),35.8692508,128.6417673,2,,,,,,,,,,,,,,,
꿈꾸는피아니스트음악학원,"대구광역시 동구 효목로 63 , 2층 (효목동)",35.8788308,128.6407537,2,,,,,,,,,,,,,,,
몽아트스쿨미술학원,대구광역시 수성구 수성로 400  수성우방팔레스상가 304호 (수성동4가),35.8609929,128.6149437,2,,,,,,,,,,,,,,,
리틀즈수성어학원,대구광역시 수성구 달구벌대로458길 36   82-12번지 1층 (수성동1가),35.8581475,128.6125842,2,,,,,,,,,,,,,,,
선미술학원,대구광역시 수성구 화랑로 118 (),35.8731344,128.6397566,2,,,,,,,,,,,,,,,
가가미술학원,대구광역시 동구 동호로 79   4층 (신서동),35.8664819,128.7255611,2,,,,,,,,,,,,,,,
파동소리엘피아노학원,대구광역시 수성구 파동로 82-1   2층 (파동),35.8114597,128.6182627,2,,,,,,,,,,,,,,,
스카이미술학원,"대구광역시 수성구 달구벌대로 2672 , 1층 (만촌동)",35.8703682,128.6361845,2,,,,,,,,,,,,,,,
천년의미소미술학원,대구광역시 중구 중앙대로 275   1층 2층 (남산동),35.8580416,128.5908902,2,,,,,,,,,,,,,,,
YM입시학원,대구광역시 수성구 달구벌대로 2484   외 1필지 2층 3층일부 (범어동),35.8588249,128.630883,2,,,,,,,,,,,,,,,
글맥입시학원,"대구광역시 수성구 수성로25길 5 , 3층 (상동,원지빌딩)",35.8372563,128.6114307,2,,,,,,,,,,,,,,,
