사업장명,소재지전체주소,Latitude,Longitude
인형가게 뽑고가게,대구광역시 달서구 진천동 508번지,35.8133557,128.5236534
선물의집,대구광역시 달서구 상인동 1417-3번지,35.8144895,128.5387591
돌스토이뽑기방,대구광역시 달서구 감삼동 206-42번지,35.8463976,128.5444989
토이게임랜드,대구광역시 달서구 두류동 610-17번지,35.8547025,128.5527685
뽑기스타,대구광역시 달서구 두류동 630-24번지,35.8529736,128.5488727
토이샵,대구광역시 달서구 본리동 1198-8번지,35.8416034,128.5304
무요리미니오락실,대구광역시 달서구 두류동 497-2번지,35.854182,128.5514939
토이샵,대구광역시 달서구 상인동 1403-7번지,35.8171902,128.5384852
현대오락실,대구광역시 달서구 상인동 1556번지 (지하1층),35.8123633,128.545341
블루게임랜드,대구광역시 달서구 본리동 1217-1번지,35.838364,128.5304061
부성오락실,대구광역시 달서구 호산동 713-6번지,35.8418146,128.4902106
태평양게임랜드,대구광역시 달서구 대곡동 9번지,35.8082236,128.5102199
토마토게임랜드,대구광역시 달서구 본리동 1208-4번지 3층,35.8393277,128.5303815
시네마오락실,대구광역시 달서구 이곡동 1244-1번지,35.8544663,128.5078312
충무오락실,대구광역시 달서구 본리동 1208-3번지 3층,35.8394882,128.530366
두꺼비게임랜드,대구광역시 달서구 이곡동 1213-1번지 202호,35.8537569,128.5046592
드림플스방,대구광역시 달서구 신당동 1721-13번지 (5층),35.8558134,128.4936559
삼우오락실,대구광역시 달서구 상인동 1332-138번지,35.8086825,128.545889
씽씽쏭쏭동전노래방,대구광역시 달서구 송현동 1930-44번지 1층,35.8300446,128.5498969
토이랜드(게임센터),대구광역시 달서구 상인동 241번지 3층,35.8165747,128.5392668
씽씽쏭쏭오락실,대구광역시 달서구 진천동 242-5번지,35.8135105,128.5276204
황금오락실,대구광역시 달서구 이곡동 1220-6번지 4층,35.8536628,128.5058122
게임랜드,대구광역시 달서구 송현동 129-5번지 1층,35.833915,128.5526287
호박게임랜드,대구광역시 달서구 성당동 263-9번지 3층,35.8373598,128.5540053
신세계오락실,대구광역시 달서구 이곡동 1222-2번지 2층,35.8531274,128.5051755
명가게임장,대구광역시 달서구 본리동 1209-3번지 4층,35.8387903,128.53041
골든벨오락실,대구광역시 달서구 송현동 194-3번지,35.8339052,128.5551468
모찌게임장,대구광역시 달서구 두류동 491-1번지,35.8550637,128.5530035
씨피유(CPU)게임랜드,대구광역시 달서구 송현동 61-6번지,35.8363883,128.5539875
인형천국,대구광역시 달서구 상인동 240-3번지,35.8170094,128.5390163
뽑트리스,대구광역시 달서구 두류동 486-1번지,35.8546325,128.5538763
인형뽑기,대구광역시 달서구 이곡동 1213-1번지,35.8537569,128.5046592
인형게임랜드,대구광역시 달서구 송현동 1043-1번지,35.8372443,128.5567773
뽑고놀고,대구광역시 달서구 신당동 1790-13번지,35.8551222,128.4936394
오뚜기게임랜드,대구광역시 달서구 이곡동 911-4번지,35.8517121,128.5043584
아지트게임랜드,대구광역시 달서구 본리동 554번지,35.838577,128.5309621
토이샵,대구광역시 달서구 호산동 360-11번지,35.8508242,128.486007
런던오락실,대구광역시 달서구 죽전동 203-10번지 (1층),35.8563932,128.540112
(주)이월드 히말라야오락실,대구광역시 달서구 두류동 산 302-11번지 (1층),35.8540248,128.5634167
(주)이월드 피터팬오락실,대구광역시 달서구 두류동 산 302-11번지 (1층),35.8540248,128.5634167
와우게임랜드,대구광역시 달서구 도원동 1432번지 (지하1층),35.8075918,128.5354904
행운 오락실,대구광역시 달서구 성당동 263-5번지 (지하1층),35.8373861,128.5541671
맥스라이더,대구광역시 달서구 상인동 171-1번지 홈플러스지하2층,35.8183052,128.5332096
대박게임랜드,대구광역시 달서구 송현동 195-1번지 (2층),35.8337053,128.5549052
탑(T.O.P)뽑기,대구광역시 달서구 두류동 491-2번지,35.8548407,128.5532865
드루와,대구광역시 달서구 용산동 930-13번지 대구공영빌딩,35.8580779,128.5303635
뽀바조이,대구광역시 달서구 이곡동 1213-1번지,35.8537569,128.5046592
뽑아야산다인형뽑기방,대구광역시 달서구 상인동 1438-2번지,35.816813,128.53312
배트맨게임랜드,대구광역시 달서구 대곡동 7-6번지,35.8081163,128.5100068
엔젤게임랜드,대구광역시 달서구 이곡동 1202-11번지,35.8543617,128.5046464
계명게임장,대구광역시 달서구 신당동 1721-3번지 (1층),35.8561736,128.4928599
퍼니놀이터존,대구광역시 달서구 상인동 1401-6번지,35.8172297,128.5387256
퍼니랜드(FUNNY LAND),대구광역시 달서구 이곡동 1213번지,35.8538381,128.5042046
행운상자인형뽑기,대구광역시 달서구 이곡동 1244-1번지,35.8544663,128.5078312
짱구게임장,대구광역시 달서구 송현동 1033-13번지,35.8363535,128.5558612
룰루랄라,대구광역시 달서구 두류동 496-9번지,35.8547752,128.5524358
팡팡뽑기방,대구광역시 달서구 도원동 1432번지,35.8075918,128.5354904
샵(#)뽑기뽑기,,,
우리끼리놀아죠,대구광역시 달서구 본리동 559-1번지,35.839846,128.5313889
나인뽑기방,대구광역시 달서구 호산동 712-8번지,35.8412576,128.4897777
